# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
EBlowR9_7TeVscale             0.0001     0.0023     0.0005    
EBhighR9_7TeVscale            0.0004     0.0056     0.0004    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0007     0.0004    
EBlowR9_7TeVsmear             0.0000     0.0085     0.0005    
EBhighR9_7TeVsmear            0.0000     0.0370     0.0006    
EBlowR9Phi_7TeVsmear          0.0000     0.0041     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0142     0.0001    
EElowR9_7TeVsmear             0.0000     0.0001     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0009     0.0004    
MaterialEBCentral_scale       0.0004     0.0040     0.0004    
MaterialEBOuterEE_scale       0.0003     0.0025     0.0004    
NonLinearity_7TeVscale        0.0020     0.0000     0.0000

diphotonCat 0
proc vbf
EBlowR9_7TeVscale             0.0001     0.0010     0.0002    
EBhighR9_7TeVscale            0.0004     0.0015     0.0006    
EElowR9_7TeVscale             0.0000     0.0004     0.0000    
EEhighR9_7TeVscale            0.0000     0.0024     0.0004    
EBlowR9_7TeVsmear             0.0000     0.0063     0.0001    
EBhighR9_7TeVsmear            0.0000     0.0387     0.0008    
EBlowR9Phi_7TeVsmear          0.0000     0.0044     0.0001    
EBhighR9Phi_7TeVsmear         0.0000     0.0160     0.0002    
EElowR9_7TeVsmear             0.0000     0.0005     0.0002    
EEhighR9_7TeVsmear            0.0000     0.0015     0.0005    
MaterialEBCentral_scale       0.0004     0.0027     0.0006    
MaterialEBOuterEE_scale       0.0003     0.0028     0.0007    
NonLinearity_7TeVscale        0.0020     0.0000     0.0000

diphotonCat 0
proc wh
EBlowR9_7TeVscale             0.0001     0.0014     0.0007    
EBhighR9_7TeVscale            0.0004     0.0027     0.0006    
EElowR9_7TeVscale             0.0000     0.0014     0.0001    
EEhighR9_7TeVscale            0.0001     0.0027     0.0003    
EBlowR9_7TeVsmear             0.0000     0.0087     0.0004    
EBhighR9_7TeVsmear            0.0000     0.0343     0.0011    
EBlowR9Phi_7TeVsmear          0.0000     0.0081     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0154     0.0003    
EElowR9_7TeVsmear             0.0000     0.0014     0.0001    
EEhighR9_7TeVsmear            0.0000     0.0037     0.0001    
MaterialEBCentral_scale       0.0004     0.0031     0.0008    
MaterialEBOuterEE_scale       0.0004     0.0046     0.0006    
NonLinearity_7TeVscale        0.0020     0.0000     0.0000

diphotonCat 0
proc zh
EBlowR9_7TeVscale             0.0001     0.0015     0.0005    
EBhighR9_7TeVscale            0.0004     0.0078     0.0005    
EElowR9_7TeVscale             0.0000     0.0013     0.0002    
EEhighR9_7TeVscale            0.0001     0.0017     0.0006    
EBlowR9_7TeVsmear             0.0000     0.0123     0.0004    
EBhighR9_7TeVsmear            0.0000     0.0416     0.0015    
EBlowR9Phi_7TeVsmear          0.0000     0.0103     0.0003    
EBhighR9Phi_7TeVsmear         0.0000     0.0168     0.0011    
EElowR9_7TeVsmear             0.0000     0.0006     0.0002    
EEhighR9_7TeVsmear            0.0000     0.0019     0.0000    
MaterialEBCentral_scale       0.0004     0.0075     0.0000    
MaterialEBOuterEE_scale       0.0004     0.0043     0.0013    
NonLinearity_7TeVscale        0.0020     0.0000     0.0000

diphotonCat 0
proc tth
EBlowR9_7TeVscale             0.0002     0.0037     0.0005    
EBhighR9_7TeVscale            0.0004     0.0042     0.0000    
EElowR9_7TeVscale             0.0000     0.0011     0.0004    
EEhighR9_7TeVscale            0.0001     0.0026     0.0005    
EBlowR9_7TeVsmear             0.0000     0.0144     0.0010    
EBhighR9_7TeVsmear            0.0001     0.0253     0.0016    
EBlowR9Phi_7TeVsmear          0.0000     0.0086     0.0005    
EBhighR9Phi_7TeVsmear         0.0000     0.0059     0.0005    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0085     0.0005    
