# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
EBlowR9_7TeVscale             0.0000     0.0011     0.0000    
EBhighR9_7TeVscale            0.0005     0.0068     0.0003    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0012     0.0001    
EBhighR9_7TeVsmear            0.0000     0.0499     0.0008    
EBlowR9Phi_7TeVsmear          0.0000     0.0003     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0153     0.0002    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0058     0.0005    
MaterialEBOuterEE_scale       0.0004     0.0070     0.0001    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc vbf
EBlowR9_7TeVscale             0.0000     0.0010     0.0001    
EBhighR9_7TeVscale            0.0005     0.0010     0.0001    
EElowR9_7TeVscale             0.0000     0.0001     0.0001    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0018     0.0001    
EBhighR9_7TeVsmear            0.0000     0.0580     0.0005    
EBlowR9Phi_7TeVsmear          0.0000     0.0007     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0185     0.0001    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0011     0.0001    
MaterialEBOuterEE_scale       0.0004     0.0042     0.0004    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc wh
EBlowR9_7TeVscale             0.0000     0.0006     0.0000    
EBhighR9_7TeVscale            0.0005     0.0014     0.0002    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0012     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0605     0.0004    
EBlowR9Phi_7TeVsmear          0.0000     0.0015     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0160     0.0001    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0011     0.0002    
MaterialEBOuterEE_scale       0.0004     0.0036     0.0004    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc zh
EBlowR9_7TeVscale             0.0000     0.0010     0.0000    
EBhighR9_7TeVscale            0.0005     0.0034     0.0000    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0034     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0576     0.0005    
EBlowR9Phi_7TeVsmear          0.0000     0.0023     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0191     0.0002    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0053     0.0004    
MaterialEBOuterEE_scale       0.0004     0.0034     0.0004    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc tth
EBlowR9_7TeVscale             0.0000     0.0003     0.0000    
EBhighR9_7TeVscale            0.0005     0.0132     0.0000    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0028     0.0000    
EBhighR9_7TeVsmear            0.0001     0.0469     0.0005    
EBlowR9Phi_7TeVsmear          0.0000     0.0015     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0249     0.0000    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0141     0.0000    
MaterialEBOuterEE_scale       0.0004     0.0104     0.0000    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 1
proc ggh
EBlowR9_7TeVscale             0.0004     0.0015     0.0007    
EBhighR9_7TeVscale            0.0002     0.0006     0.0001    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0189     0.0005    
EBhighR9_7TeVsmear            0.0000     0.0135     0.0003    
EBlowR9Phi_7TeVsmear          0.0000     0.0115     0.0001    
EBhighR9Phi_7TeVsmear         0.0000     0.0044     0.0002    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0012     0.0001    
MaterialEBOuterEE_scale       0.0004     0.0020     0.0002    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 1
proc vbf
EBlowR9_7TeVscale             0.0004     0.0038     0.0002    
EBhighR9_7TeVscale            0.0002     0.0030     0.0003    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0225     0.0006    
EBhighR9_7TeVsmear            0.0000     0.0109     0.0003    
EBlowR9Phi_7TeVsmear          0.0000     0.0093     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0023     0.0001    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0009     0.0002    
MaterialEBOuterEE_scale       0.0004     0.0030     0.0002    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 1
proc wh
EBlowR9_7TeVscale             0.0004     0.0034     0.0009    
EBhighR9_7TeVscale            0.0002     0.0029     0.0004    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0189     0.0008    
EBhighR9_7TeVsmear            0.0000     0.0119     0.0004    
EBlowR9Phi_7TeVsmear          0.0000     0.0105     0.0005    
EBhighR9Phi_7TeVsmear         0.0000     0.0031     0.0002    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0036     0.0003    
MaterialEBOuterEE_scale       0.0004     0.0029     0.0005    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 1
proc zh
EBlowR9_7TeVscale             0.0005     0.0055     0.0005    
EBhighR9_7TeVscale            0.0002     0.0030     0.0002    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0001     0.0158     0.0007    
EBhighR9_7TeVsmear            0.0000     0.0149     0.0003    
EBlowR9Phi_7TeVsmear          0.0000     0.0081     0.0009    
EBhighR9Phi_7TeVsmear         0.0000     0.0057     0.0002    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0017     0.0002    
MaterialEBOuterEE_scale       0.0004     0.0036     0.0002    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 1
proc tth
EBlowR9_7TeVscale             0.0004     0.0062     0.0010    
EBhighR9_7TeVscale            0.0002     0.0082     0.0000    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0155     0.0005    
EBhighR9_7TeVsmear            0.0000     0.0108     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0035     0.0005    
EBhighR9Phi_7TeVsmear         0.0000     0.0019     0.0000    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0088     0.0009    
MaterialEBOuterEE_scale       0.0004     0.0023     0.0010    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 2
proc ggh
EBlowR9_7TeVscale             0.0000     0.0000     0.0000    
